District,Date,PCPO,OLP,NDP,GPO
Etobicoke Lakeshore,2022-05-05,35%,35%,22%,4%
Etobicoke Lakeshore,2022-05-06,34%,35%,22%,5%
Etobicoke Lakeshore,2022-05-06,34%,34%,23%,6%
Etobicoke Lakeshore,2022-05-07,34%,34%,23%,6%
Etobicoke Lakeshore,2022-05-07,34%,34%,23%,6%
Etobicoke Lakeshore,2022-05-08,34%,34%,22%,6%
Etobicoke Lakeshore,2022-05-08,34%,34%,22%,6%
Etobicoke Lakeshore,2022-05-09,34%,34%,22%,6%
Etobicoke Lakeshore,2022-05-09,34%,34%,22%,6%
Etobicoke Lakeshore,2022-05-10,34%,34%,22%,6%
Etobicoke Lakeshore,2022-05-10,35%,34%,21%,6%
Etobicoke Lakeshore,2022-05-11,35%,34%,21%,6%
Etobicoke Lakeshore,2022-05-11,35%,34%,21%,6%
Etobicoke Lakeshore,2022-05-12,35%,34%,21%,6%
Etobicoke Lakeshore,2022-05-12,37%,32%,21%,5%
Etobicoke Lakeshore,2022-05-13,37%,36%,18%,5%
Etobicoke Lakeshore,2022-05-13,37%,36%,18%,5%
Etobicoke Lakeshore,2022-05-14,37%,37%,17%,5%
Etobicoke Lakeshore,2022-05-14,36%,37%,16%,5%
Etobicoke Lakeshore,2022-05-15,37%,37%,17%,5%
Etobicoke Lakeshore,2022-05-15,37%,37%,17%,5%
Etobicoke Lakeshore,2022-05-16,33%,37%,19%,7%
Etobicoke Lakeshore,2022-05-16,33%,37%,19%,7%
Etobicoke Lakeshore,2022-05-17,34%,37%,18%,6%
Etobicoke Lakeshore,2022-05-17,35%,37%,18%,6%
Etobicoke Lakeshore,2022-05-18,32%,38%,19%,6%
Etobicoke Lakeshore,2022-05-18,34%,36%,19%,6%
Etobicoke Lakeshore,2022-05-19,37%,35%,18%,6%
Etobicoke Lakeshore,2022-05-19,35%,38%,18%,6%
Etobicoke Lakeshore,2022-05-20,35%,38%,17%,6%
Etobicoke Lakeshore,2022-05-20,31%,43%,16%,6%
Etobicoke Lakeshore,2022-05-21,34%,41%,15%,6%
Etobicoke Lakeshore,2022-05-21,35%,40%,16%,6%
Etobicoke Lakeshore,2022-05-22,36%,39%,16%,6%
Etobicoke Lakeshore,2022-05-22,37%,38%,16%,6%
Etobicoke Lakeshore,2022-05-23,38%,37%,15%,6%
Etobicoke Lakeshore,2022-05-23,37%,38%,16%,6%
Mississauga Erin Mills,2022-05-01,42%,39%,11%,5%
Mississauga Erin Mills,2022-09-01,40%,39%,14%,2%
Mississauga Erin Mills,2023-01-01,38%,37%,18%,2%
Mississauga Erin Mills,2023-05-01,38%,36%,19%,2%
Mississauga Erin Mills,2023-09-01,39%,36%,18%,2%
Mississauga Erin Mills,2024-01-01,39%,36%,19%,2%
Mississauga Erin Mills,2024-05-01,38%,36%,19%,2%
Mississauga Erin Mills,2024-09-01,38%,37%,18%,2%
Mississauga Erin Mills,2025-01-01,38%,37%,18%,2%
Mississauga Erin Mills,2025-05-01,38%,37%,18%,2%
Mississauga Erin Mills,2022-04-30,39%,36%,18%,2%
Mississauga Erin Mills,2022-04-30,39%,36%,18%,2%
Mississauga Erin Mills,2022-05-03,40%,36%,18%,2%
Mississauga Erin Mills,2022-05-03,39%,35%,18%,2%
Mississauga Erin Mills,2022-05-04,39%,34%,19%,2%
Mississauga Erin Mills,2022-05-04,38%,35%,19%,2%
Mississauga Erin Mills,2022-05-05,39%,36%,18%,2%
Mississauga Erin Mills,2022-05-05,39%,35%,18%,2%
Mississauga Erin Mills,2022-05-06,39%,35%,18%,3%
Mississauga Erin Mills,2022-05-06,38%,34%,19%,3%
Mississauga Erin Mills,2022-05-07,38%,34%,19%,3%
Mississauga Erin Mills,2022-05-07,38%,34%,19%,3%
Mississauga Erin Mills,2022-05-08,38%,34%,19%,3%
Mississauga Erin Mills,2022-05-08,38%,34%,19%,3%
Mississauga Erin Mills,2022-05-09,38%,34%,18%,3%
Mississauga Erin Mills,2022-05-09,38%,34%,18%,3%
Mississauga Erin Mills,2022-05-10,38%,33%,19%,3%
Mississauga Erin Mills,2022-05-10,39%,34%,18%,3%
Mississauga Erin Mills,2022-05-11,39%,34%,18%,3%
Mississauga Erin Mills,2022-05-11,39%,34%,18%,3%
Mississauga Erin Mills,2022-05-12,39%,33%,18%,3%
Mississauga Erin Mills,2022-05-12,41%,32%,18%,3%
Mississauga Erin Mills,2022-05-13,42%,37%,12%,4%
Mississauga Erin Mills,2022-05-13,42%,37%,12%,4%
Mississauga Erin Mills,2022-05-14,41%,38%,11%,5%
Mississauga Erin Mills,2022-05-14,41%,39%,11%,5%
Mississauga Erin Mills,2022-05-15,41%,39%,11%,5%
Mississauga Erin Mills,2022-05-15,41%,38%,12%,5%
Mississauga Erin Mills,2022-05-16,38%,39%,13%,7%
Mississauga Erin Mills,2022-05-16,38%,39%,13%,6%
Mississauga Erin Mills,2022-05-17,39%,39%,13%,6%
Mississauga Erin Mills,2022-05-17,39%,38%,12%,6%
Mississauga Erin Mills,2022-05-18,37%,40%,13%,6%
Mississauga Erin Mills,2022-05-18,39%,38%,13%,6%
Mississauga Erin Mills,2022-05-19,42%,37%,12%,6%
Mississauga Erin Mills,2022-05-19,37%,42%,12%,6%
Mississauga Erin Mills,2022-05-20,36%,43%,12%,5%
Mississauga Erin Mills,2022-05-20,35%,45%,12%,5%
Mississauga Erin Mills,2022-05-21,38%,43%,11%,5%
Mississauga Erin Mills,2022-05-21,39%,41%,12%,5%
Mississauga Erin Mills,2022-05-22,40%,40%,11%,5%
Mississauga Erin Mills,2022-05-22,41%,39%,11%,5%
Mississauga Erin Mills,2022-05-23,43%,38%,11%,5%
Mississauga Erin Mills,2022-05-23,42%,39%,11%,5%
Mississauga Lakeshore,2022-05-01,44%,38%,8%,6%
Mississauga Lakeshore,2022-09-01,42%,42%,9%,2%
Mississauga Lakeshore,2023-01-01,40%,41%,12%,2%
Mississauga Lakeshore,2023-05-01,40%,41%,12%,2%
Mississauga Lakeshore,2023-09-01,41%,40%,12%,2%
Mississauga Lakeshore,2024-01-01,41%,41%,12%,2%
Mississauga Lakeshore,2024-05-01,40%,41%,12%,2%
Mississauga Lakeshore,2024-09-01,40%,41%,12%,2%
Mississauga Lakeshore,2025-01-01,40%,42%,12%,2%
Mississauga Lakeshore,2025-05-01,40%,42%,12%,2%
Mississauga Lakeshore,2022-04-30,41%,41%,12%,2%
Mississauga Lakeshore,2022-04-30,41%,41%,12%,2%
Mississauga Lakeshore,2022-05-03,41%,41%,12%,2%
Mississauga Lakeshore,2022-05-03,40%,41%,12%,2%
Mississauga Lakeshore,2022-05-04,41%,40%,13%,2%
Mississauga Lakeshore,2022-05-04,40%,41%,13%,2%
Mississauga Lakeshore,2022-05-05,40%,41%,12%,2%
Mississauga Lakeshore,2022-05-05,40%,41%,12%,2%
Mississauga Lakeshore,2022-05-06,40%,40%,12%,3%
Mississauga Lakeshore,2022-05-06,39%,40%,13%,3%
Mississauga Lakeshore,2022-05-07,39%,40%,13%,3%
Mississauga Lakeshore,2022-05-07,39%,40%,13%,3%
Mississauga Lakeshore,2022-05-08,40%,40%,13%,3%
Mississauga Lakeshore,2022-05-08,40%,40%,13%,3%
Mississauga Lakeshore,2022-05-09,39%,39%,12%,3%
Mississauga Lakeshore,2022-05-09,39%,39%,12%,3%
Mississauga Lakeshore,2022-05-10,39%,39%,13%,3%
Mississauga Lakeshore,2022-05-10,40%,39%,12%,3%
Mississauga Lakeshore,2022-05-11,39%,39%,13%,3%
Mississauga Lakeshore,2022-05-11,39%,39%,13%,3%
Mississauga Lakeshore,2022-05-12,39%,39%,13%,3%
Mississauga Lakeshore,2022-05-12,40%,40%,12%,3%
Mississauga Lakeshore,2022-05-13,45%,37%,9%,5%
Mississauga Lakeshore,2022-05-13,45%,37%,9%,5%
Mississauga Lakeshore,2022-05-14,44%,38%,8%,6%
Mississauga Lakeshore,2022-05-14,44%,38%,8%,6%
Mississauga Lakeshore,2022-05-15,44%,38%,8%,5%
Mississauga Lakeshore,2022-05-15,44%,37%,8%,6%
Mississauga Lakeshore,2022-05-16,40%,38%,9%,8%
Mississauga Lakeshore,2022-05-16,41%,38%,9%,7%
Mississauga Lakeshore,2022-05-17,41%,38%,9%,7%
Mississauga Lakeshore,2022-05-17,42%,38%,9%,7%
Mississauga Lakeshore,2022-05-18,39%,40%,9%,7%
Mississauga Lakeshore,2022-05-18,42%,38%,9%,7%
Mississauga Lakeshore,2022-05-19,44%,36%,9%,7%
Mississauga Lakeshore,2022-05-19,39%,42%,9%,6%
Mississauga Lakeshore,2022-05-20,39%,43%,9%,6%
Mississauga Lakeshore,2022-05-20,37%,45%,8%,6%
Mississauga Lakeshore,2022-05-21,41%,42%,8%,6%
Mississauga Lakeshore,2022-05-21,41%,41%,8%,6%
Mississauga Lakeshore,2022-05-22,42%,40%,8%,6%
Mississauga Lakeshore,2022-05-22,44%,38%,8%,6%
Mississauga Lakeshore,2022-05-23,45%,38%,8%,6%
Mississauga Lakeshore,2022-05-23,44%,38%,8%,6%
Mississauga Malton,2022-05-01,44%,33%,16%,5%
Mississauga Malton,2022-09-01,38%,34%,18%,4%
Mississauga Malton,2023-01-01,36%,33%,22%,4%
Mississauga Malton,2023-05-01,36%,32%,22%,4%
Mississauga Malton,2023-09-01,37%,32%,22%,4%
Mississauga Malton,2024-01-01,36%,32%,22%,4%
Mississauga Malton,2024-05-01,36%,32%,22%,4%
Mississauga Malton,2024-09-01,36%,33%,22%,4%
Mississauga Malton,2025-01-01,36%,33%,21%,4%
Mississauga Malton,2025-05-01,36%,34%,21%,4%
Mississauga Malton,2022-04-30,37%,33%,21%,4%
Mississauga Malton,2022-04-30,37%,33%,21%,4%
Mississauga Malton,2022-05-03,37%,33%,21%,4%
Mississauga Malton,2022-05-03,39%,34%,22%,4%
Mississauga Malton,2022-05-04,39%,33%,22%,4%
Mississauga Malton,2022-05-04,38%,34%,23%,4%
Mississauga Malton,2022-05-05,38%,34%,21%,4%
Mississauga Malton,2022-05-05,38%,34%,21%,4%
Mississauga Malton,2022-05-06,38%,33%,21%,5%
Mississauga Malton,2022-05-06,37%,33%,22%,5%
Mississauga Malton,2022-05-07,37%,33%,22%,5%
Mississauga Malton,2022-05-07,37%,33%,23%,5%
Mississauga Malton,2022-05-08,38%,33%,22%,5%
Mississauga Malton,2022-05-08,38%,33%,22%,5%
Mississauga Malton,2022-05-09,38%,32%,22%,5%
Mississauga Malton,2022-05-09,38%,32%,22%,5%
Mississauga Malton,2022-05-10,38%,32%,22%,5%
Mississauga Malton,2022-05-10,39%,32%,21%,5%
Mississauga Malton,2022-05-11,39%,32%,21%,5%
Mississauga Malton,2022-05-11,39%,32%,21%,5%
Mississauga Malton,2022-05-12,39%,32%,21%,5%
Mississauga Malton,2022-05-12,40%,32%,21%,5%
Mississauga Malton,2022-05-13,45%,30%,18%,4%
Mississauga Malton,2022-05-13,45%,31%,18%,4%
Mississauga Malton,2022-05-14,45%,31%,17%,4%
Mississauga Malton,2022-05-14,44%,32%,16%,4%
Mississauga Malton,2022-05-15,44%,32%,16%,4%
Mississauga Malton,2022-05-15,45%,31%,17%,4%
Mississauga Malton,2022-05-16,41%,32%,19%,6%
Mississauga Malton,2022-05-16,41%,32%,19%,5%
Mississauga Malton,2022-05-17,42%,32%,18%,5%
Mississauga Malton,2022-05-17,42%,32%,18%,5%
Mississauga Malton,2022-05-18,40%,33%,19%,5%
Mississauga Malton,2022-05-18,42%,31%,18%,5%
Mississauga Malton,2022-05-19,45%,30%,18%,5%
Mississauga Malton,2022-05-19,40%,35%,18%,5%
Mississauga Malton,2022-05-20,40%,36%,18%,5%
Mississauga Malton,2022-05-20,38%,38%,17%,5%
Mississauga Malton,2022-05-21,41%,36%,16%,5%
Mississauga Malton,2022-05-21,42%,34%,17%,5%
Mississauga Malton,2022-05-22,43%,34%,17%,5%
Mississauga Malton,2022-05-22,44%,32%,17%,5%
Mississauga Malton,2022-05-23,46%,32%,16%,5%
Mississauga Malton,2022-05-23,44%,33%,16%,5%
Ajax,2022-05-01,40%,37%,16%,5%
Ajax,2022-09-01,38%,37%,16%,2%
Ajax,2023-01-01,36%,36%,20%,2%
Ajax,2023-05-01,36%,35%,21%,2%
Ajax,2023-09-01,37%,35%,21%,2%
Ajax,2024-01-01,37%,35%,21%,2%
Ajax,2024-05-01,36%,35%,22%,2%
Ajax,2024-09-01,36%,36%,21%,2%
Ajax,2025-01-01,35%,36%,21%,2%
Ajax,2025-05-01,35%,37%,21%,2%
Ajax,2022-04-30,36%,35%,21%,2%
Ajax,2022-04-30,36%,35%,21%,2%
Ajax,2022-05-03,37%,35%,21%,2%
Ajax,2022-05-03,36%,35%,20%,2%
Ajax,2022-05-04,37%,34%,21%,2%
Ajax,2022-05-04,36%,35%,21%,2%
Ajax,2022-05-05,36%,36%,20%,2%
Ajax,2022-05-05,36%,35%,20%,2%
Ajax,2022-05-06,36%,36%,20%,3%
Ajax,2022-05-06,35%,35%,21%,3%
Ajax,2022-05-07,35%,35%,21%,3%
Ajax,2022-05-07,35%,35%,21%,3%
Ajax,2022-05-08,35%,35%,21%,3%
Ajax,2022-05-08,35%,35%,21%,3%
Ajax,2022-05-09,35%,35%,20%,4%
Ajax,2022-05-09,35%,35%,20%,4%
Ajax,2022-05-10,35%,34%,20%,4%
Ajax,2022-05-10,36%,34%,20%,4%
Ajax,2022-05-11,36%,34%,20%,4%
Ajax,2022-05-11,35%,35%,19%,4%
Ajax,2022-05-12,35%,35%,19%,4%
Ajax,2022-05-12,36%,35%,19%,4%
Ajax,2022-05-13,41%,36%,17%,3%
Ajax,2022-05-13,40%,36%,17%,4%
Ajax,2022-05-14,40%,37%,16%,4%
Ajax,2022-05-14,40%,38%,15%,4%
Ajax,2022-05-15,40%,38%,15%,4%
Ajax,2022-05-15,39%,37%,16%,4%
Ajax,2022-05-16,36%,38%,18%,5%
Ajax,2022-05-16,36%,38%,18%,5%
Ajax,2022-05-17,37%,38%,17%,5%
Ajax,2022-05-17,37%,37%,17%,5%
Ajax,2022-05-18,35%,39%,18%,5%
Ajax,2022-05-18,37%,37%,18%,5%
Ajax,2022-05-19,39%,36%,17%,5%
Ajax,2022-05-19,38%,38%,17%,5%
Ajax,2022-05-20,38%,39%,16%,4%
Ajax,2022-05-20,36%,41%,16%,4%
Ajax,2022-05-21,38%,40%,15%,4%
Ajax,2022-05-21,38%,39%,16%,4%
Ajax,2022-05-22,39%,38%,16%,4%
Ajax,2022-05-22,40%,37%,16%,5%
Ajax,2022-05-23,42%,36%,15%,5%
Ajax,2022-05-23,40%,37%,16%,5%
Niagara Centre,2022-05-01,38%,18%,33%,6%
Niagara Centre,2022-09-01,39%,20%,29%,6%
Niagara Centre,2023-01-01,38%,20%,30%,6%
Niagara Centre,2023-05-01,38%,20%,30%,6%
Niagara Centre,2023-09-01,38%,20%,30%,6%
Niagara Centre,2024-01-01,38%,20%,30%,6%
Niagara Centre,2024-05-01,37%,20%,30%,6%
Niagara Centre,2024-09-01,37%,21%,30%,6%
Niagara Centre,2025-01-01,37%,21%,30%,6%
Niagara Centre,2025-05-01,37%,21%,30%,6%
Niagara Centre,2022-04-30,38%,21%,30%,6%
Niagara Centre,2022-04-30,38%,21%,30%,6%
Niagara Centre,2022-05-03,38%,21%,29%,5%
Niagara Centre,2022-05-03,40%,21%,30%,6%
Niagara Centre,2022-05-04,40%,21%,30%,6%
Niagara Centre,2022-05-04,39%,21%,31%,6%
Niagara Centre,2022-05-05,38%,19%,34%,6%
Niagara Centre,2022-05-05,38%,18%,34%,6%
Niagara Centre,2022-05-06,37%,18%,34%,7%
Niagara Centre,2022-05-06,37%,18%,34%,8%
Niagara Centre,2022-05-07,37%,18%,34%,8%
Niagara Centre,2022-05-07,37%,18%,34%,8%
Niagara Centre,2022-05-08,37%,16%,35%,8%
Niagara Centre,2022-05-08,37%,16%,35%,8%
Niagara Centre,2022-05-09,36%,16%,35%,8%
Niagara Centre,2022-05-09,36%,16%,35%,8%
Niagara Centre,2022-05-10,36%,16%,35%,8%
Niagara Centre,2022-05-10,37%,16%,34%,8%
Niagara Centre,2022-05-11,37%,16%,34%,8%
Niagara Centre,2022-05-11,37%,16%,34%,8%
Niagara Centre,2022-05-12,37%,16%,34%,8%
Niagara Centre,2022-05-12,39%,14%,35%,8%
Niagara Centre,2022-05-13,38%,13%,40%,5%
Niagara Centre,2022-05-13,37%,13%,40%,5%
Niagara Centre,2022-05-14,38%,14%,38%,5%
Niagara Centre,2022-05-14,38%,14%,38%,5%
Niagara Centre,2022-05-15,38%,14%,38%,5%
Niagara Centre,2022-05-15,37%,14%,38%,5%
Niagara Centre,2022-05-16,34%,14%,41%,7%
Niagara Centre,2022-05-16,34%,14%,41%,7%
Niagara Centre,2022-05-17,35%,14%,40%,6%
Niagara Centre,2022-05-17,35%,14%,40%,6%
Niagara Centre,2022-05-18,33%,14%,41%,6%
Niagara Centre,2022-05-18,35%,14%,40%,6%
Niagara Centre,2022-05-19,37%,13%,40%,6%
Niagara Centre,2022-05-19,37%,14%,39%,6%
Niagara Centre,2022-05-20,37%,15%,39%,6%
Niagara Centre,2022-05-20,35%,21%,35%,6%
Niagara Centre,2022-05-21,36%,20%,33%,6%
Niagara Centre,2022-05-21,36%,19%,35%,6%
Niagara Centre,2022-05-22,37%,19%,34%,6%
Niagara Centre,2022-05-22,38%,18%,34%,6%
Niagara Centre,2022-05-23,39%,18%,32%,6%
Niagara Centre,2022-05-23,38%,18%,33%,6%
Kitchener South Hespeler,2022-05-01,39%,19%,21%,17%
Kitchener South Hespeler,2022-09-01,38%,25%,22%,9%
Kitchener South Hespeler,2023-01-01,38%,23%,25%,9%
Kitchener South Hespeler,2023-05-01,38%,23%,25%,9%
Kitchener South Hespeler,2023-09-01,38%,23%,25%,9%
Kitchener South Hespeler,2024-01-01,38%,23%,25%,9%
Kitchener South Hespeler,2024-05-01,37%,23%,25%,8%
Kitchener South Hespeler,2024-09-01,37%,23%,25%,9%
Kitchener South Hespeler,2025-01-01,37%,24%,25%,8%
Kitchener South Hespeler,2025-05-01,37%,24%,25%,8%
Kitchener South Hespeler,2022-04-30,38%,23%,25%,8%
Kitchener South Hespeler,2022-04-30,38%,23%,25%,8%
Kitchener South Hespeler,2022-05-03,38%,23%,24%,8%
Kitchener South Hespeler,2022-05-03,39%,24%,25%,9%
Kitchener South Hespeler,2022-05-04,40%,23%,25%,8%
Kitchener South Hespeler,2022-05-04,39%,24%,26%,8%
Kitchener South Hespeler,2022-05-05,39%,25%,24%,9%
Kitchener South Hespeler,2022-05-05,39%,25%,24%,9%
Kitchener South Hespeler,2022-05-06,38%,24%,24%,11%
Kitchener South Hespeler,2022-05-06,37%,23%,25%,12%
Kitchener South Hespeler,2022-05-07,37%,23%,25%,12%
Kitchener South Hespeler,2022-05-07,36%,23%,25%,12%
Kitchener South Hespeler,2022-05-08,37%,23%,25%,12%
Kitchener South Hespeler,2022-05-08,37%,23%,25%,12%
Kitchener South Hespeler,2022-05-09,37%,23%,24%,12%
Kitchener South Hespeler,2022-05-09,37%,23%,24%,12%
Kitchener South Hespeler,2022-05-10,36%,19%,29%,12%
Kitchener South Hespeler,2022-05-10,37%,19%,28%,12%
Kitchener South Hespeler,2022-05-11,37%,19%,28%,12%
Kitchener South Hespeler,2022-05-11,35%,19%,30%,12%
Kitchener South Hespeler,2022-05-12,35%,19%,29%,12%
Kitchener South Hespeler,2022-05-12,38%,18%,29%,11%
Kitchener South Hespeler,2022-05-13,40%,17%,27%,11%
Kitchener South Hespeler,2022-05-13,40%,17%,27%,11%
Kitchener South Hespeler,2022-05-14,39%,17%,25%,13%
Kitchener South Hespeler,2022-05-14,39%,17%,25%,13%
Kitchener South Hespeler,2022-05-15,39%,17%,25%,12%
Kitchener South Hespeler,2022-05-15,39%,17%,25%,12%
Kitchener South Hespeler,2022-05-16,35%,17%,27%,15%
Kitchener South Hespeler,2022-05-16,36%,17%,27%,14%
Kitchener South Hespeler,2022-05-17,37%,17%,27%,13%
Kitchener South Hespeler,2022-05-17,37%,17%,27%,13%
Kitchener South Hespeler,2022-05-18,35%,18%,28%,14%
Kitchener South Hespeler,2022-05-18,37%,17%,27%,13%
Kitchener South Hespeler,2022-05-19,38%,16%,26%,16%
Kitchener South Hespeler,2022-05-19,37%,17%,25%,16%
Kitchener South Hespeler,2022-05-20,37%,18%,25%,16%
Kitchener South Hespeler,2022-05-20,35%,22%,22%,16%
Kitchener South Hespeler,2022-05-21,37%,21%,21%,17%
Kitchener South Hespeler,2022-05-21,37%,20%,22%,16%
Kitchener South Hespeler,2022-05-22,38%,19%,22%,16%
Kitchener South Hespeler,2022-05-22,39%,18%,22%,17%
Kitchener South Hespeler,2022-05-23,40%,18%,20%,17%
Kitchener South Hespeler,2022-05-23,39%,19%,21%,17%
Hamilton West Ancaster Dundas,2022-05-01,33%,23%,34%,7%
Hamilton West Ancaster Dundas,2022-09-01,31%,33%,26%,5%
Hamilton West Ancaster Dundas,2023-01-01,29%,32%,28%,5%
Hamilton West Ancaster Dundas,2023-05-01,29%,30%,30%,5%
Hamilton West Ancaster Dundas,2023-09-01,29%,30%,30%,5%
Hamilton West Ancaster Dundas,2024-01-01,29%,30%,30%,5%
Hamilton West Ancaster Dundas,2024-05-01,29%,30%,31%,5%
Hamilton West Ancaster Dundas,2024-09-01,29%,30%,31%,5%
Hamilton West Ancaster Dundas,2025-01-01,29%,30%,30%,5%
Hamilton West Ancaster Dundas,2025-05-01,29%,31%,30%,5%
Hamilton West Ancaster Dundas,2022-04-30,30%,29%,30%,5%
Hamilton West Ancaster Dundas,2022-04-30,30%,30%,30%,5%
Hamilton West Ancaster Dundas,2022-05-03,30%,30%,30%,5%
Hamilton West Ancaster Dundas,2022-05-03,31%,30%,31%,5%
Hamilton West Ancaster Dundas,2022-05-04,31%,30%,31%,5%
Hamilton West Ancaster Dundas,2022-05-04,30%,31%,31%,5%
Hamilton West Ancaster Dundas,2022-05-05,31%,31%,30%,5%
Hamilton West Ancaster Dundas,2022-05-05,31%,31%,30%,5%
Hamilton West Ancaster Dundas,2022-05-06,30%,30%,29%,7%
Hamilton West Ancaster Dundas,2022-05-06,30%,30%,30%,7%
Hamilton West Ancaster Dundas,2022-05-07,30%,30%,30%,7%
Hamilton West Ancaster Dundas,2022-05-07,30%,30%,30%,7%
Hamilton West Ancaster Dundas,2022-05-08,30%,29%,30%,7%
Hamilton West Ancaster Dundas,2022-05-08,30%,29%,30%,7%
Hamilton West Ancaster Dundas,2022-05-09,30%,26%,33%,7%
Hamilton West Ancaster Dundas,2022-05-09,30%,26%,33%,7%
Hamilton West Ancaster Dundas,2022-05-10,30%,26%,32%,7%
Hamilton West Ancaster Dundas,2022-05-10,31%,26%,32%,7%
Hamilton West Ancaster Dundas,2022-05-11,31%,26%,32%,7%
Hamilton West Ancaster Dundas,2022-05-11,31%,26%,32%,7%
Hamilton West Ancaster Dundas,2022-05-12,31%,26%,32%,7%
Hamilton West Ancaster Dundas,2022-05-12,32%,25%,31%,7%
Hamilton West Ancaster Dundas,2022-05-13,33%,18%,41%,5%
Hamilton West Ancaster Dundas,2022-05-13,32%,18%,41%,5%
Hamilton West Ancaster Dundas,2022-05-14,33%,19%,38%,6%
Hamilton West Ancaster Dundas,2022-05-14,33%,20%,38%,6%
Hamilton West Ancaster Dundas,2022-05-15,33%,20%,38%,6%
Hamilton West Ancaster Dundas,2022-05-15,33%,19%,39%,6%
Hamilton West Ancaster Dundas,2022-05-16,29%,19%,41%,8%
Hamilton West Ancaster Dundas,2022-05-16,29%,19%,41%,8%
Hamilton West Ancaster Dundas,2022-05-17,30%,19%,41%,7%
Hamilton West Ancaster Dundas,2022-05-17,30%,19%,40%,7%
Hamilton West Ancaster Dundas,2022-05-18,28%,20%,42%,7%
Hamilton West Ancaster Dundas,2022-05-18,30%,19%,41%,7%
Hamilton West Ancaster Dundas,2022-05-19,32%,18%,40%,7%
Hamilton West Ancaster Dundas,2022-05-19,31%,20%,40%,7%
Hamilton West Ancaster Dundas,2022-05-20,31%,20%,39%,7%
Hamilton West Ancaster Dundas,2022-05-20,29%,26%,35%,7%
Hamilton West Ancaster Dundas,2022-05-21,31%,26%,34%,7%
Hamilton West Ancaster Dundas,2022-05-21,31%,24%,35%,7%
Hamilton West Ancaster Dundas,2022-05-22,32%,24%,35%,7%
Hamilton West Ancaster Dundas,2022-05-22,32%,23%,35%,7%
Hamilton West Ancaster Dundas,2022-05-23,34%,23%,33%,7%
Hamilton West Ancaster Dundas,2022-05-23,33%,23%,34%,7%
Toronto Centre,2022-05-01,13%,40%,39%,7%
Toronto Centre,2022-09-01,13%,39%,39%,4%
Toronto Centre,2023-01-01,13%,39%,39%,4%
Toronto Centre,2023-05-01,13%,39%,38%,4%
Toronto Centre,2023-09-01,13%,40%,38%,4%
Toronto Centre,2024-01-01,13%,39%,38%,4%
Toronto Centre,2024-05-01,13%,39%,38%,4%
Toronto Centre,2024-09-01,13%,39%,38%,4%
Toronto Centre,2025-01-01,13%,40%,38%,4%
Toronto Centre,2025-05-01,13%,39%,39%,4%
Toronto Centre,2022-04-30,14%,38%,39%,4%
Toronto Centre,2022-04-30,14%,38%,39%,4%
Toronto Centre,2022-05-03,14%,38%,39%,4%
Toronto Centre,2022-05-03,14%,38%,39%,4%
Toronto Centre,2022-05-04,14%,38%,39%,4%
Toronto Centre,2022-05-04,14%,38%,39%,4%
Toronto Centre,2022-05-05,14%,40%,37%,4%
Toronto Centre,2022-05-05,14%,40%,36%,4%
Toronto Centre,2022-05-06,14%,39%,36%,6%
Toronto Centre,2022-05-06,13%,39%,36%,6%
Toronto Centre,2022-05-07,13%,38%,36%,6%
Toronto Centre,2022-05-07,13%,38%,37%,6%
Toronto Centre,2022-05-08,14%,38%,36%,6%
Toronto Centre,2022-05-08,14%,39%,36%,6%
Toronto Centre,2022-05-09,14%,38%,36%,6%
Toronto Centre,2022-05-09,14%,38%,36%,6%
Toronto Centre,2022-05-10,14%,36%,38%,6%
Toronto Centre,2022-05-10,15%,36%,37%,6%
Toronto Centre,2022-05-11,15%,36%,37%,6%
Toronto Centre,2022-05-11,15%,37%,37%,6%
Toronto Centre,2022-05-12,15%,36%,37%,6%
Toronto Centre,2022-05-12,15%,36%,37%,6%
Toronto Centre,2022-05-13,12%,37%,44%,5%
Toronto Centre,2022-05-13,12%,36%,44%,5%
Toronto Centre,2022-05-14,12%,38%,41%,6%
Toronto Centre,2022-05-14,12%,39%,41%,6%
Toronto Centre,2022-05-15,12%,39%,41%,6%
Toronto Centre,2022-05-15,12%,38%,42%,6%
Toronto Centre,2022-05-16,10%,37%,44%,8%
Toronto Centre,2022-05-16,10%,37%,43%,7%
Toronto Centre,2022-05-17,10%,37%,43%,7%
Toronto Centre,2022-05-17,11%,37%,43%,7%
Toronto Centre,2022-05-18,10%,38%,43%,7%
Toronto Centre,2022-05-18,10%,37%,44%,7%
Toronto Centre,2022-05-19,11%,36%,44%,7%
Toronto Centre,2022-05-19,11%,38%,42%,6%
Toronto Centre,2022-05-20,11%,39%,42%,6%
Toronto Centre,2022-05-20,10%,44%,39%,6%
Toronto Centre,2022-05-21,12%,43%,37%,7%
Toronto Centre,2022-05-21,12%,41%,39%,6%
Toronto Centre,2022-05-22,12%,40%,39%,7%
Toronto Centre,2022-05-22,12%,39%,40%,7%
Toronto Centre,2022-05-23,13%,39%,38%,7%
Toronto Centre,2022-05-23,13%,40%,39%,7%
Waterloo,2022-05-01,30%,17%,39%,10%
Waterloo,2022-09-01,33%,21%,33%,7%
Waterloo,2023-01-01,32%,19%,35%,7%
Waterloo,2023-05-01,33%,19%,35%,7%
Waterloo,2023-09-01,33%,19%,34%,7%
Waterloo,2024-01-01,32%,20%,34%,7%
