District,Date,LPC,CPC,NDP,GPC
Rivière-des-Milles-Îles,2024-07-01,25%,15%,7%,3%
Rivière-des-Milles-Îles,2024-09-01,24%,14%,7%,3%
Rivière-des-Milles-Îles,2024-11-01,25%,13%,7%,3%
Rivière-des-Milles-Îles,2025-01-01,26%,15%,8%,3%
Rivière-des-Milles-Îles,2025-03-01,26%,15%,8%,4%
Rivière-des-Milles-Îles,2025-05-01,27%,15%,8%,4%
Rivière-des-Milles-Îles,2025-07-01,25%,15%,8%,3%
Rivière-des-Milles-Îles,2025-09-01,24%,14%,8%,3%
Rivière-des-Milles-Îles,2025-11-01,24%,14%,8%,3%
Rivière-des-Milles-Îles,2024-05-12,24%,14%,8%,3%
Rivière-des-Milles-Îles,2024-05-12,24%,14%,8%,3%
Rivière-des-Milles-Îles,2024-05-19,24%,14%,8%,3%
Rivière-des-Milles-Îles,2024-05-19,26%,13%,8%,3%
Rivière-des-Milles-Îles,2024-05-26,26%,13%,8%,3%
Rivière-des-Milles-Îles,2024-05-26,25%,14%,8%,3%
Rivière-des-Milles-Îles,2024-06-02,26%,14%,8%,3%
Rivière-des-Milles-Îles,2024-06-02,27%,14%,8%,3%
Rivière-des-Milles-Îles,2024-06-09,26%,14%,8%,4%
Rivière-des-Milles-Îles,2024-06-09,25%,13%,8%,4%
Rivière-des-Milles-Îles,2024-06-16,25%,13%,8%,4%
Rivière-des-Milles-Îles,2024-06-16,24%,14%,9%,4%
Rivière-des-Milles-Îles,2024-06-23,24%,13%,9%,4%
Rivière-des-Milles-Îles,2024-06-23,24%,13%,9%,3%
Rivière-des-Milles-Îles,2024-06-30,25%,13%,9%,3%
Rivière-des-Milles-Îles,2024-06-30,25%,13%,9%,3%
Rivière-des-Milles-Îles,2024-07-07,25%,13%,9%,3%
Rivière-des-Milles-Îles,2024-07-07,24%,13%,8%,3%
Rosemont La Petite-Patrie,2024-05-01,14%,6%,51%,5%
Rosemont La Petite-Patrie,2024-07-01,16%,7%,49%,6%
Rosemont La Petite-Patrie,2024-09-01,16%,7%,49%,5%
Rosemont La Petite-Patrie,2024-11-01,16%,6%,50%,6%
Rosemont La Petite-Patrie,2025-01-01,17%,7%,50%,6%
Rosemont La Petite-Patrie,2025-03-01,17%,7%,50%,6%
Rosemont La Petite-Patrie,2025-05-01,17%,7%,50%,6%
Rosemont La Petite-Patrie,2025-07-01,15%,8%,51%,6%
Rosemont La Petite-Patrie,2025-09-01,14%,8%,51%,5%
Rosemont La Petite-Patrie,2025-11-01,15%,7%,51%,5%
Rosemont La Petite-Patrie,2024-05-12,15%,7%,51%,5%
Rosemont La Petite-Patrie,2024-05-12,15%,7%,51%,5%
Rosemont La Petite-Patrie,2024-05-19,15%,7%,51%,5%
Rosemont La Petite-Patrie,2024-05-19,16%,7%,51%,5%
Rosemont La Petite-Patrie,2024-05-26,16%,7%,51%,5%
Rosemont La Petite-Patrie,2024-05-26,15%,8%,51%,5%
Rosemont La Petite-Patrie,2024-06-02,16%,8%,51%,5%
Rosemont La Petite-Patrie,2024-06-02,16%,7%,51%,5%
Rosemont La Petite-Patrie,2024-06-09,16%,7%,52%,5%
Rosemont La Petite-Patrie,2024-06-09,15%,7%,51%,5%
Rosemont La Petite-Patrie,2024-06-16,14%,6%,52%,5%
Rosemont La Petite-Patrie,2024-06-16,13%,6%,53%,5%
Rosemont La Petite-Patrie,2024-06-23,13%,6%,54%,5%
Rosemont La Petite-Patrie,2024-06-23,13%,6%,54%,5%
Rosemont La Petite-Patrie,2024-06-30,14%,6%,53%,5%
Rosemont La Petite-Patrie,2024-06-30,14%,6%,52%,5%
Rosemont La Petite-Patrie,2024-07-07,14%,6%,52%,5%
Rosemont La Petite-Patrie,2024-07-07,14%,6%,51%,5%
Saint-Maurice Champlain,2024-05-01,32%,21%,7%,4%
Saint-Maurice Champlain,2024-07-01,33%,27%,6%,4%
Saint-Maurice Champlain,2024-09-01,33%,26%,6%,4%
Saint-Maurice Champlain,2024-11-01,34%,25%,6%,4%
Saint-Maurice Champlain,2025-01-01,35%,27%,6%,4%
Saint-Maurice Champlain,2025-03-01,35%,27%,6%,4%
Saint-Maurice Champlain,2025-05-01,35%,27%,6%,4%
Saint-Maurice Champlain,2025-07-01,33%,27%,7%,4%
Saint-Maurice Champlain,2025-09-01,32%,27%,7%,4%
Saint-Maurice Champlain,2025-11-01,32%,26%,7%,4%
Saint-Maurice Champlain,2024-05-12,33%,26%,7%,4%
Saint-Maurice Champlain,2024-05-12,33%,26%,7%,4%
Saint-Maurice Champlain,2024-05-19,33%,26%,7%,4%
Saint-Maurice Champlain,2024-05-19,34%,25%,7%,4%
Saint-Maurice Champlain,2024-05-26,35%,25%,7%,4%
Saint-Maurice Champlain,2024-05-26,34%,26%,7%,4%
Saint-Maurice Champlain,2024-06-02,35%,26%,7%,4%
Saint-Maurice Champlain,2024-06-02,36%,25%,7%,4%
Saint-Maurice Champlain,2024-06-09,35%,25%,7%,4%
Saint-Maurice Champlain,2024-06-09,35%,25%,7%,4%
Saint-Maurice Champlain,2024-06-16,33%,22%,7%,4%
Saint-Maurice Champlain,2024-06-16,32%,22%,7%,4%
Saint-Maurice Champlain,2024-06-23,31%,22%,8%,4%
Saint-Maurice Champlain,2024-06-23,32%,21%,8%,4%
Saint-Maurice Champlain,2024-06-30,32%,21%,7%,4%
Saint-Maurice Champlain,2024-06-30,33%,21%,7%,4%
Saint-Maurice Champlain,2024-07-07,32%,21%,7%,4%
Saint-Maurice Champlain,2024-07-07,32%,21%,7%,4%
Sherbrooke,2024-05-01,28%,16%,15%,5%
Sherbrooke,2024-07-01,29%,18%,14%,5%
Sherbrooke,2024-09-01,28%,17%,14%,5%
Sherbrooke,2024-11-01,29%,16%,14%,5%
Sherbrooke,2025-01-01,29%,18%,14%,5%
Sherbrooke,2025-03-01,30%,18%,14%,5%
Sherbrooke,2025-05-01,30%,18%,14%,5%
Sherbrooke,2025-07-01,28%,18%,15%,5%
Sherbrooke,2025-09-01,27%,17%,14%,5%
Sherbrooke,2025-11-01,28%,17%,14%,5%
Sherbrooke,2024-05-12,28%,17%,14%,5%
Sherbrooke,2024-05-12,28%,17%,14%,5%
Sherbrooke,2024-05-19,28%,17%,14%,5%
Sherbrooke,2024-05-19,29%,16%,14%,5%
Sherbrooke,2024-05-26,30%,16%,14%,5%
Sherbrooke,2024-05-26,29%,17%,14%,5%
Sherbrooke,2024-06-02,30%,17%,14%,5%
Sherbrooke,2024-06-02,31%,17%,14%,5%
Sherbrooke,2024-06-09,30%,16%,15%,5%
Sherbrooke,2024-06-09,29%,16%,15%,5%
Sherbrooke,2024-06-16,29%,16%,15%,5%
Sherbrooke,2024-06-16,28%,17%,15%,5%
Sherbrooke,2024-06-23,28%,16%,16%,5%
Sherbrooke,2024-06-23,28%,16%,16%,5%
Sherbrooke,2024-06-30,29%,16%,15%,5%
Sherbrooke,2024-06-30,29%,15%,15%,5%
Sherbrooke,2024-07-07,29%,16%,15%,5%
Sherbrooke,2024-07-07,28%,16%,15%,5%
Thérèse-De Blainville,2024-05-01,28%,13%,8%,3%
Thérèse-De Blainville,2024-07-01,29%,15%,7%,3%
Thérèse-De Blainville,2024-09-01,28%,14%,7%,3%
Thérèse-De Blainville,2024-11-01,29%,14%,7%,3%
Thérèse-De Blainville,2025-01-01,30%,15%,7%,3%
Thérèse-De Blainville,2025-03-01,30%,15%,7%,4%
Thérèse-De Blainville,2025-05-01,31%,15%,7%,4%
Thérèse-De Blainville,2025-07-01,29%,15%,8%,3%
Thérèse-De Blainville,2025-09-01,28%,14%,8%,3%
Thérèse-De Blainville,2025-11-01,28%,14%,8%,3%
Thérèse-De Blainville,2024-05-12,28%,14%,7%,3%
Thérèse-De Blainville,2024-05-12,28%,14%,7%,3%
Thérèse-De Blainville,2024-05-19,28%,14%,7%,3%
Thérèse-De Blainville,2024-05-19,30%,13%,8%,3%
Thérèse-De Blainville,2024-05-26,30%,13%,8%,3%
Thérèse-De Blainville,2024-05-26,29%,15%,8%,3%
Thérèse-De Blainville,2024-06-02,30%,14%,8%,3%
Thérèse-De Blainville,2024-06-02,31%,14%,8%,3%
Thérèse-De Blainville,2024-06-09,30%,14%,8%,4%
Thérèse-De Blainville,2024-06-09,30%,14%,8%,4%
Thérèse-De Blainville,2024-06-16,29%,14%,8%,4%
Thérèse-De Blainville,2024-06-16,28%,14%,8%,4%
Thérèse-De Blainville,2024-06-23,28%,14%,9%,4%
Thérèse-De Blainville,2024-06-23,28%,13%,9%,3%
Thérèse-De Blainville,2024-06-30,29%,13%,8%,3%
Thérèse-De Blainville,2024-06-30,29%,13%,8%,3%
Thérèse-De Blainville,2024-07-07,29%,13%,8%,3%
Thérèse-De Blainville,2024-07-07,28%,13%,8%,3%
Trois-Rivières,2024-05-01,17%,34%,9%,4%
Trois-Rivières,2024-07-01,17%,38%,8%,4%
Trois-Rivières,2024-09-01,17%,36%,8%,4%
Trois-Rivières,2024-11-01,18%,36%,8%,4%
Trois-Rivières,2025-01-01,18%,38%,8%,4%
Trois-Rivières,2025-03-01,18%,39%,8%,4%
Trois-Rivières,2025-05-01,18%,39%,8%,4%
Trois-Rivières,2025-07-01,17%,38%,9%,4%
Trois-Rivières,2025-09-01,16%,37%,9%,4%
Trois-Rivières,2025-11-01,17%,37%,9%,4%
Trois-Rivières,2024-05-12,17%,37%,9%,4%
Trois-Rivières,2024-05-12,17%,37%,8%,4%
Trois-Rivières,2024-05-19,17%,37%,8%,4%
Trois-Rivières,2024-05-19,18%,36%,9%,4%
Trois-Rivières,2024-05-26,18%,36%,9%,4%
Trois-Rivières,2024-05-26,18%,37%,9%,4%
Trois-Rivières,2024-06-02,18%,36%,9%,4%
Trois-Rivières,2024-06-02,19%,36%,9%,4%
Trois-Rivières,2024-06-09,19%,35%,9%,4%
Trois-Rivières,2024-06-09,18%,35%,9%,4%
Trois-Rivières,2024-06-16,18%,35%,9%,4%
Trois-Rivières,2024-06-16,17%,35%,9%,4%
Trois-Rivières,2024-06-23,17%,35%,10%,4%
Trois-Rivières,2024-06-23,17%,34%,10%,4%
Trois-Rivières,2024-06-30,18%,34%,10%,4%
Trois-Rivières,2024-06-30,18%,33%,9%,4%
Trois-Rivières,2024-07-07,18%,34%,9%,4%
Trois-Rivières,2024-07-07,17%,34%,9%,4%
Vaudreuil,2024-05-01,33%,20%,12%,4%
Vaudreuil,2024-07-01,37%,22%,11%,5%
Vaudreuil,2024-09-01,36%,21%,11%,4%
Vaudreuil,2024-11-01,37%,21%,11%,5%
Vaudreuil,2025-01-01,38%,22%,11%,5%
Vaudreuil,2025-03-01,38%,23%,11%,5%
Vaudreuil,2025-05-01,38%,23%,11%,5%
Vaudreuil,2025-07-01,36%,23%,11%,5%
Vaudreuil,2025-09-01,35%,23%,11%,4%
Vaudreuil,2025-11-01,35%,22%,11%,4%
Vaudreuil,2024-05-12,36%,22%,11%,4%
Vaudreuil,2024-05-12,36%,22%,11%,4%
Vaudreuil,2024-05-19,36%,22%,11%,4%
Vaudreuil,2024-05-19,37%,21%,11%,4%
Vaudreuil,2024-05-26,38%,21%,11%,4%
Vaudreuil,2024-05-26,37%,23%,11%,4%
Vaudreuil,2024-06-02,38%,22%,11%,4%
Vaudreuil,2024-06-02,39%,22%,11%,4%
Vaudreuil,2024-06-09,38%,21%,11%,5%
Vaudreuil,2024-06-09,37%,21%,11%,5%
Vaudreuil,2024-06-16,34%,20%,12%,5%
Vaudreuil,2024-06-16,33%,20%,12%,5%
Vaudreuil,2024-06-23,33%,20%,13%,5%
Vaudreuil,2024-06-23,33%,20%,13%,5%
Vaudreuil,2024-06-30,34%,19%,12%,5%
Vaudreuil,2024-06-30,34%,19%,12%,5%
Vaudreuil,2024-07-07,34%,19%,12%,5%
Vaudreuil,2024-07-07,33%,20%,12%,4%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-01,40%,18%,19%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-07-01,47%,17%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-09-01,47%,17%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-11-01,48%,16%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2025-01-01,48%,17%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2025-03-01,48%,18%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2025-05-01,48%,18%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2025-07-01,43%,21%,18%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2025-09-01,42%,20%,18%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2025-11-01,43%,20%,18%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-12,43%,20%,18%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-12,43%,20%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-19,43%,20%,17%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-19,45%,19%,17%,4%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-26,45%,19%,17%,4%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-05-26,43%,20%,18%,4%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-02,45%,20%,17%,4%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-02,46%,19%,17%,4%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-09,45%,19%,18%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-09,44%,19%,18%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-16,41%,18%,19%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-16,39%,18%,20%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-23,39%,18%,21%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-23,40%,18%,21%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-30,40%,17%,20%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-06-30,41%,17%,20%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-07-07,41%,17%,20%,5%
Ville-Marie Le Sud-Ouest Île-des-Soeurs,2024-07-07,40%,18%,19%,5%
Ajax,2024-05-01,42%,35%,15%,8%
Ajax,2024-07-01,42%,35%,15%,9%
Ajax,2024-09-01,42%,34%,15%,9%
Ajax,2024-11-01,43%,34%,14%,9%
Ajax,2025-01-01,43%,34%,15%,9%
Ajax,2025-03-01,43%,33%,14%,9%
Ajax,2025-05-01,43%,33%,15%,9%
Ajax,2025-07-01,42%,33%,16%,9%
Ajax,2025-09-01,43%,34%,15%,7%
Ajax,2025-11-01,43%,34%,15%,7%
Ajax,2024-05-12,43%,34%,15%,7%
Ajax,2024-05-12,42%,34%,15%,7%
Ajax,2024-05-19,42%,34%,15%,7%
Ajax,2024-05-19,42%,34%,16%,7%
Ajax,2024-05-26,42%,34%,15%,8%
Ajax,2024-05-26,43%,33%,15%,7%
Ajax,2024-06-02,44%,32%,15%,8%
Ajax,2024-06-02,44%,33%,14%,8%
Ajax,2024-06-09,43%,33%,14%,8%
Ajax,2024-06-09,43%,35%,13%,8%
Ajax,2024-06-16,42%,36%,13%,8%
Ajax,2024-06-16,41%,36%,14%,8%
Ajax,2024-06-23,40%,37%,14%,8%
Ajax,2024-06-23,41%,36%,15%,8%
Ajax,2024-06-30,41%,35%,15%,8%
Ajax,2024-06-30,41%,35%,15%,8%
Ajax,2024-07-07,41%,35%,15%,8%
Ajax,2024-07-07,42%,35%,15%,8%
Algonquin Renfrew Pembroke,2024-05-01,8%,63%,19%,6%
Algonquin Renfrew Pembroke,2024-07-01,9%,63%,19%,6%
Algonquin Renfrew Pembroke,2024-09-01,9%,63%,19%,6%
Algonquin Renfrew Pembroke,2024-11-01,10%,63%,19%,6%
Algonquin Renfrew Pembroke,2025-01-01,9%,62%,19%,6%
Algonquin Renfrew Pembroke,2025-03-01,10%,62%,19%,6%
Algonquin Renfrew Pembroke,2025-05-01,9%,62%,20%,6%
Algonquin Renfrew Pembroke,2025-07-01,9%,62%,20%,6%
Algonquin Renfrew Pembroke,2025-09-01,9%,63%,19%,5%
Algonquin Renfrew Pembroke,2025-11-01,9%,63%,19%,5%
Algonquin Renfrew Pembroke,2024-05-12,9%,63%,19%,5%
Algonquin Renfrew Pembroke,2024-05-12,9%,63%,19%,5%
Algonquin Renfrew Pembroke,2024-05-19,9%,63%,19%,5%
Algonquin Renfrew Pembroke,2024-05-19,8%,62%,20%,5%
Algonquin Renfrew Pembroke,2024-05-26,8%,62%,20%,5%
Algonquin Renfrew Pembroke,2024-05-26,9%,62%,20%,5%
Algonquin Renfrew Pembroke,2024-06-02,9%,61%,20%,5%
Algonquin Renfrew Pembroke,2024-06-02,9%,62%,18%,5%
Algonquin Renfrew Pembroke,2024-06-09,9%,63%,19%,6%
Algonquin Renfrew Pembroke,2024-06-09,8%,64%,18%,6%
Algonquin Renfrew Pembroke,2024-06-16,8%,64%,17%,6%
Algonquin Renfrew Pembroke,2024-06-16,8%,64%,18%,6%
Algonquin Renfrew Pembroke,2024-06-23,8%,65%,18%,5%
Algonquin Renfrew Pembroke,2024-06-23,8%,64%,18%,6%
Algonquin Renfrew Pembroke,2024-06-30,8%,63%,18%,6%
Algonquin Renfrew Pembroke,2024-06-30,8%,63%,19%,6%
Algonquin Renfrew Pembroke,2024-07-07,8%,63%,19%,6%
Algonquin Renfrew Pembroke,2024-07-07,8%,63%,19%,6%
Brantford Brant South Six Nations,2024-05-01,16%,53%,19%,6%
Brantford Brant South Six Nations,2024-07-01,17%,53%,21%,5%
Brantford Brant South Six Nations,2024-09-01,17%,53%,20%,5%
Brantford Brant South Six Nations,2024-11-01,18%,52%,20%,5%
Brantford Brant South Six Nations,2025-01-01,17%,52%,21%,5%
Brantford Brant South Six Nations,2025-03-01,18%,52%,20%,5%
Brantford Brant South Six Nations,2025-05-01,18%,51%,21%,5%
Brantford Brant South Six Nations,2025-07-01,17%,52%,22%,5%
Brantford Brant South Six Nations,2025-09-01,17%,52%,20%,5%
Brantford Brant South Six Nations,2025-11-01,17%,52%,20%,5%
Brantford Brant South Six Nations,2024-05-12,17%,52%,20%,5%
Brantford Brant South Six Nations,2024-05-12,16%,53%,20%,5%
Brantford Brant South Six Nations,2024-05-19,16%,53%,20%,5%
Brantford Brant South Six Nations,2024-05-19,16%,52%,21%,5%
Brantford Brant South Six Nations,2024-05-26,16%,52%,21%,5%
Brantford Brant South Six Nations,2024-05-26,17%,51%,21%,5%
Brantford Brant South Six Nations,2024-06-02,17%,51%,20%,5%
Brantford Brant South Six Nations,2024-06-02,17%,52%,19%,5%
Brantford Brant South Six Nations,2024-06-09,17%,52%,19%,6%
Brantford Brant South Six Nations,2024-06-09,16%,54%,19%,6%
Brantford Brant South Six Nations,2024-06-16,16%,54%,18%,6%
Brantford Brant South Six Nations,2024-06-16,16%,55%,18%,6%
Brantford Brant South Six Nations,2024-06-23,15%,55%,19%,5%
Brantford Brant South Six Nations,2024-06-23,15%,54%,19%,6%
Brantford Brant South Six Nations,2024-06-30,16%,53%,19%,6%
Brantford Brant South Six Nations,2024-06-30,16%,53%,19%,6%
Brantford Brant South Six Nations,2024-07-07,16%,53%,20%,6%
Brantford Brant South Six Nations,2024-07-07,16%,53%,19%,6%
Bruce Grey Owen Sound,2024-05-01,11%,64%,13%,8%
Bruce Grey Owen Sound,2024-07-01,12%,64%,12%,9%
Bruce Grey Owen Sound,2024-09-01,12%,64%,12%,9%
Bruce Grey Owen Sound,2024-11-01,12%,64%,12%,9%
Bruce Grey Owen Sound,2025-01-01,12%,64%,12%,9%
Bruce Grey Owen Sound,2025-03-01,12%,64%,12%,9%
Bruce Grey Owen Sound,2025-05-01,12%,63%,13%,9%
Bruce Grey Owen Sound,2025-07-01,12%,63%,13%,9%
Bruce Grey Owen Sound,2025-09-01,12%,64%,13%,7%
Bruce Grey Owen Sound,2025-11-01,12%,64%,13%,7%
Bruce Grey Owen Sound,2024-05-12,12%,64%,13%,7%
Bruce Grey Owen Sound,2024-05-12,12%,64%,13%,7%
Bruce Grey Owen Sound,2024-05-19,12%,64%,13%,7%
Bruce Grey Owen Sound,2024-05-19,11%,63%,13%,7%
Bruce Grey Owen Sound,2024-05-26,11%,63%,13%,7%
Bruce Grey Owen Sound,2024-05-26,12%,63%,13%,7%
Bruce Grey Owen Sound,2024-06-02,12%,62%,13%,8%
Bruce Grey Owen Sound,2024-06-02,12%,63%,12%,8%
Bruce Grey Owen Sound,2024-06-09,12%,63%,12%,8%
Bruce Grey Owen Sound,2024-06-09,11%,64%,12%,8%
Bruce Grey Owen Sound,2024-06-16,11%,65%,11%,8%
Bruce Grey Owen Sound,2024-06-16,11%,65%,12%,8%
Bruce Grey Owen Sound,2024-06-23,10%,65%,12%,8%
Bruce Grey Owen Sound,2024-06-23,11%,65%,12%,8%
Bruce Grey Owen Sound,2024-06-30,11%,64%,12%,8%
Bruce Grey Owen Sound,2024-06-30,11%,64%,12%,8%
Bruce Grey Owen Sound,2024-07-07,11%,64%,12%,8%
Bruce Grey Owen Sound,2024-07-07,11%,64%,13%,8%
Burlington,2024-05-01,33%,46%,12%,6%
Burlington,2024-07-01,34%,46%,11%,7%
Burlington,2024-09-01,34%,46%,11%,7%
Burlington,2024-11-01,35%,45%,11%,7%
Burlington,2025-01-01,35%,45%,11%,7%
Burlington,2025-03-01,35%,45%,11%,7%
Burlington,2025-05-01,35%,44%,12%,7%
Burlington,2025-07-01,34%,45%,13%,7%
Burlington,2025-09-01,34%,46%,12%,6%
Burlington,2025-11-01,34%,45%,12%,6%
Burlington,2024-05-12,34%,46%,12%,6%
Burlington,2024-05-12,34%,46%,12%,6%
Burlington,2024-05-19,34%,46%,12%,6%
Burlington,2024-05-19,33%,45%,12%,6%
Burlington,2024-05-26,33%,45%,12%,6%
Burlington,2024-05-26,34%,45%,12%,6%
Burlington,2024-06-02,35%,44%,12%,6%
Burlington,2024-06-02,35%,44%,11%,6%
Burlington,2024-06-09,34%,45%,11%,6%
Burlington,2024-06-09,33%,46%,11%,7%
Burlington,2024-06-16,33%,47%,10%,6%
Burlington,2024-06-16,32%,48%,11%,6%
Burlington,2024-06-23,31%,48%,11%,6%
Burlington,2024-06-23,32%,47%,12%,6%
Burlington,2024-06-30,32%,47%,12%,6%
Burlington,2024-06-30,32%,47%,12%,7%
Burlington,2024-07-07,32%,46%,12%,7%
Burlington,2024-07-07,33%,46%,12%,6%
Burlington North Milton West,2024-05-01,36%,47%,11%,4%
Burlington North Milton West,2024-07-01,37%,47%,10%,4%
Burlington North Milton West,2024-09-01,37%,47%,10%,4%
Burlington North Milton West,2024-11-01,38%,46%,10%,4%
Burlington North Milton West,2025-01-01,38%,46%,10%,4%
Burlington North Milton West,2025-03-01,38%,46%,10%,4%
Burlington North Milton West,2025-05-01,38%,45%,10%,4%
Burlington North Milton West,2025-07-01,37%,46%,11%,4%
Burlington North Milton West,2025-09-01,37%,46%,11%,4%
Burlington North Milton West,2025-11-01,37%,46%,10%,4%
Burlington North Milton West,2024-05-12,37%,46%,10%,4%
Burlington North Milton West,2024-05-12,36%,46%,10%,4%
Burlington North Milton West,2024-05-19,36%,46%,10%,4%
Burlington North Milton West,2024-05-19,36%,46%,11%,4%
Burlington North Milton West,2024-05-26,36%,46%,11%,4%
Burlington North Milton West,2024-05-26,37%,45%,11%,4%
Burlington North Milton West,2024-06-02,38%,44%,10%,4%
Burlington North Milton West,2024-06-02,38%,45%,10%,4%
Burlington North Milton West,2024-06-09,37%,45%,10%,4%
Burlington North Milton West,2024-06-09,36%,47%,9%,4%
Burlington North Milton West,2024-06-16,36%,48%,9%,4%
Burlington North Milton West,2024-06-16,35%,48%,10%,4%
Burlington North Milton West,2024-06-23,34%,49%,10%,4%
Burlington North Milton West,2024-06-23,34%,48%,10%,4%
Burlington North Milton West,2024-06-30,35%,47%,10%,4%
Burlington North Milton West,2024-06-30,35%,47%,11%,4%
Burlington North Milton West,2024-07-07,35%,47%,11%,4%
Burlington North Milton West,2024-07-07,36%,47%,11%,4%
Cambridge,2024-05-01,28%,44%,17%,7%
Cambridge,2024-07-01,29%,44%,18%,6%
Cambridge,2024-09-01,29%,44%,18%,6%
Cambridge,2024-11-01,30%,43%,18%,6%
Cambridge,2025-01-01,29%,43%,18%,6%
Cambridge,2025-03-01,30%,43%,18%,7%
Cambridge,2025-05-01,30%,42%,18%,7%
Cambridge,2025-07-01,29%,42%,19%,6%
Cambridge,2025-09-01,28%,43%,18%,6%
Cambridge,2025-11-01,29%,43%,18%,6%
Cambridge,2024-05-12,29%,43%,18%,6%
Cambridge,2024-05-12,28%,43%,18%,6%
Cambridge,2024-05-19,28%,43%,18%,6%
Cambridge,2024-05-19,28%,42%,19%,6%
Cambridge,2024-05-26,28%,43%,18%,6%
Cambridge,2024-05-26,29%,42%,18%,6%
Cambridge,2024-06-02,30%,41%,18%,6%
Cambridge,2024-06-02,30%,42%,17%,7%
Cambridge,2024-06-09,29%,42%,17%,7%
Cambridge,2024-06-09,28%,44%,16%,7%
Cambridge,2024-06-16,28%,45%,16%,7%
Cambridge,2024-06-16,27%,45%,16%,7%
Cambridge,2024-06-23,26%,46%,17%,7%
Cambridge,2024-06-23,27%,45%,17%,7%
Cambridge,2024-06-30,27%,44%,17%,7%
Cambridge,2024-06-30,27%,44%,17%,7%
Cambridge,2024-07-07,27%,44%,17%,7%
Cambridge,2024-07-07,28%,44%,17%,7%
Carleton,2024-05-01,18%,63%,11%,5%
Carleton,2024-07-01,19%,65%,11%,4%
Carleton,2024-09-01,19%,65%,11%,4%
Carleton,2024-11-01,20%,64%,11%,4%
Carleton,2025-01-01,20%,64%,11%,4%
Carleton,2025-03-01,20%,64%,11%,4%
Carleton,2025-05-01,20%,63%,12%,5%
Carleton,2025-07-01,19%,63%,12%,4%
Carleton,2025-09-01,19%,63%,12%,4%
Carleton,2025-11-01,19%,63%,12%,4%
Carleton,2024-05-12,19%,63%,11%,4%
Carleton,2024-05-12,19%,63%,11%,4%
Carleton,2024-05-19,19%,63%,11%,4%
Carleton,2024-05-19,18%,63%,12%,4%
Carleton,2024-05-26,18%,63%,12%,4%
Carleton,2024-05-26,19%,62%,12%,4%
Carleton,2024-06-02,20%,61%,12%,4%
Carleton,2024-06-02,20%,62%,11%,5%
Carleton,2024-06-09,19%,63%,11%,5%
Carleton,2024-06-09,19%,64%,10%,5%
Carleton,2024-06-16,18%,64%,10%,5%
Carleton,2024-06-16,18%,65%,11%,5%
Carleton,2024-06-23,17%,65%,11%,5%
Carleton,2024-06-23,18%,64%,11%,5%
Carleton,2024-06-30,18%,64%,11%,5%
Carleton,2024-06-30,18%,63%,11%,5%
Carleton,2024-07-07,18%,63%,11%,5%
Carleton,2024-07-07,18%,63%,11%,5%
Chatham-Kent Leamington,2024-05-01,16%,56%,15%,4%
Chatham-Kent Leamington,2024-07-01,17%,58%,15%,3%
Chatham-Kent Leamington,2024-09-01,17%,58%,15%,3%
Chatham-Kent Leamington,2024-11-01,18%,57%,15%,3%
Chatham-Kent Leamington,2025-01-01,17%,57%,15%,3%
Chatham-Kent Leamington,2025-03-01,18%,57%,15%,3%
Chatham-Kent Leamington,2025-05-01,18%,56%,16%,4%
Chatham-Kent Leamington,2025-07-01,17%,56%,17%,3%
Chatham-Kent Leamington,2025-09-01,16%,56%,16%,3%
Chatham-Kent Leamington,2025-11-01,17%,56%,16%,3%
Chatham-Kent Leamington,2024-05-12,17%,56%,15%,3%
